Duration_sec,Rate_flows_sec,Error_Threshold_pct,Sampling_Ratio_pct,S_Queue,S_Hop,S_Egress
60,0.03,2.0,100.0,57,38,19
60,0.03,3.0,100.0,21,7,14
60,0.03,4.0,76.34,1,4,7
60,0.03,5.0,14.91,1,6,21
60,0.03,6.0,14.91,1,1,16
60,0.03,7.0,14.91,1,1,11
60,0.03,8.0,14.91,1,1,11
60,0.07,2.0,100.0,27,3,9
60,0.07,3.0,100.0,12,2,4
60,0.07,4.0,4.87,1,21,36
60,0.07,5.0,4.87,1,16,21
60,0.07,6.0,4.87,1,11,16
60,0.07,7.0,4.87,1,11,11
60,0.07,8.0,4.87,1,11,11
60,0.09,2.0,100.0,24,18,6
60,0.09,3.0,100.0,15,6,3
60,0.09,4.0,100.0,6,2,4
60,0.09,5.0,67.6,2,1,2
60,0.09,6.0,4.4,1,11,16
60,0.09,7.0,4.4,1,1,11
60,0.09,8.0,4.4,1,1,11
60,0.11,2.0,100.0,12,4,4
60,0.11,3.0,100.0,6,4,2
60,0.11,4.0,32.07,1,5,4
60,0.11,5.0,16.03,1,5,4
60,0.11,6.0,16.03,1,2,3
60,0.11,7.0,3.13,6,1,11
60,0.11,8.0,3.13,1,1,11
60,0.13,2.0,100.0,4,4,2
60,0.13,3.0,79.25,2,2,1
60,0.13,4.0,50.43,1,2,1
60,0.13,5.0,1.41,1,31,21
60,0.13,6.0,1.41,1,16,16
60,0.13,7.0,1.41,1,16,11
60,0.13,8.0,1.41,1,11,11
60,0.15,2.0,100.0,27,3,12
60,0.15,3.0,100.0,16,2,6
60,0.15,4.0,100.0,4,2,6
60,0.15,5.0,6.7,1,11,21
60,0.15,6.0,6.7,1,11,16
60,0.15,7.0,6.7,1,11,11
60,0.15,8.0,6.7,1,6,11
60,0.17,2.0,17.56,22,1,8
60,0.17,3.0,11.7,15,1,6
60,0.17,4.0,5.85,12,1,7
60,0.17,5.0,5.85,5,1,4
60,0.17,6.0,5.85,1,1,3
60,0.17,7.0,1.14,1,6,11
60,0.17,8.0,1.14,1,6,11
60,0.19,2.0,100.0,6,2,4
60,0.19,3.0,60.89,4,1,2
60,0.19,4.0,40.6,4,1,2
60,0.19,5.0,27.06,4,1,1
60,0.19,6.0,20.3,4,1,1
60,0.19,7.0,13.53,3,1,1
60,0.19,8.0,1.32,16,1,11
60,0.21,2.0,100.0,33,11,33
60,0.21,3.0,100.0,24,8,16
60,0.21,4.0,100.0,12,6,12
60,0.21,5.0,20.39,1,21,21
